Date,Open,High,Low,Close,Adj Close,Volume
2014-08-25,238000.000000,238000.000000,238000.000000,238000.000000,225085.390625,36
2014-08-26,290000.000000,300000.000000,280000.000000,297500.000000,281356.750000,2137
2014-08-27,300000.000000,301000.000000,292000.000000,294500.000000,278519.562500,3030
2014-08-28,294000.000000,294000.000000,286500.000000,290000.000000,274263.718750,1657
2014-08-29,291000.000000,291000.000000,276000.000000,280000.000000,264806.343750,2107
2014-09-01,284000.000000,284000.000000,270000.000000,274000.000000,259131.937500,2574
2014-09-02,274000.000000,280000.000000,274000.000000,275000.000000,260077.656250,1689
2014-09-03,276000.000000,281000.000000,275000.000000,280000.000000,264806.343750,4963
2014-09-04,283000.000000,286500.000000,282000.000000,285500.000000,270007.937500,4840
2014-09-05,286000.000000,290000.000000,286000.000000,290000.000000,274263.718750,5280
2014-09-11,295000.000000,300000.000000,295000.000000,298000.000000,281829.656250,5198
2014-09-12,298500.000000,299000.000000,295500.000000,297500.000000,281356.750000,1352
2014-09-15,298000.000000,298000.000000,296000.000000,296500.000000,280411.031250,1860
2014-09-16,296500.000000,298000.000000,295500.000000,296500.000000,280411.031250,3249
2014-09-17,298000.000000,302500.000000,297500.000000,301500.000000,285139.687500,5578
2014-09-18,301000.000000,339000.000000,300500.000000,332500.000000,314457.500000,5242
2014-09-19,339500.000000,360000.000000,334000.000000,339500.000000,321077.687500,6005
2014-09-22,352000.000000,352000.000000,328000.000000,330000.000000,312093.187500,4158
2014-09-23,331000.000000,335000.000000,327000.000000,332000.000000,313984.687500,3071
2014-09-24,334000.000000,347500.000000,333500.000000,347500.000000,328643.593750,7594
2014-09-25,345000.000000,350000.000000,343500.000000,345500.000000,326752.093750,4850
2014-09-26,348000.000000,348000.000000,338000.000000,339500.000000,321077.687500,3394
2014-09-29,331000.000000,334500.000000,320000.000000,323000.000000,305473.031250,3763
2014-09-30,327500.000000,327500.000000,303000.000000,310500.000000,293651.312500,10227
2014-10-01,305000.000000,308500.000000,300000.000000,306500.000000,289868.375000,4828
2014-10-02,306000.000000,311000.000000,306000.000000,307500.000000,290814.125000,9791
2014-10-06,318500.000000,318500.000000,308000.000000,310000.000000,293178.437500,3457
2014-10-07,311000.000000,311000.000000,308000.000000,309000.000000,292232.718750,3201
2014-10-08,309000.000000,310500.000000,306000.000000,308500.000000,291759.843750,5201
2014-10-10,305000.000000,310000.000000,290000.000000,302500.000000,286085.437500,5118
