Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,198500.000000,199500.000000,196500.000000,198000.000000,100654.796875,100500
2005-01-05,195000.000000,198000.000000,194000.000000,195500.000000,99383.875000,106900
2005-01-06,193500.000000,200500.000000,192000.000000,193000.000000,98112.976563,157100
2005-01-07,196500.000000,198000.000000,194500.000000,198000.000000,100654.796875,112900
2005-01-10,198000.000000,199500.000000,196000.000000,198500.000000,100908.968750,89700
2005-01-11,198500.000000,199500.000000,194500.000000,197500.000000,100400.617188,108100
2005-01-12,197500.000000,197500.000000,193500.000000,195000.000000,99129.687500,125300
2005-01-13,194000.000000,194000.000000,189500.000000,191000.000000,97096.257813,269800
2005-01-14,189500.000000,194000.000000,188500.000000,193500.000000,98367.164063,236000
2005-01-17,194000.000000,195500.000000,192500.000000,193500.000000,98367.164063,169000
2005-01-18,195000.000000,196500.000000,193000.000000,193500.000000,98367.164063,180200
2005-01-19,193500.000000,194000.000000,190000.000000,190000.000000,96587.921875,175400
2005-01-20,187500.000000,189000.000000,187000.000000,187500.000000,95317.046875,173900
2005-01-21,186500.000000,192500.000000,186500.000000,192500.000000,97858.812500,132200
2005-01-24,191000.000000,192000.000000,187500.000000,188000.000000,95571.187500,129700
2005-01-25,188000.000000,191000.000000,187000.000000,190000.000000,96587.921875,130600
2005-01-26,189500.000000,192000.000000,184000.000000,185500.000000,94300.289063,250700
2005-01-27,180000.000000,181500.000000,177500.000000,179000.000000,90996.000000,524600
2005-01-28,180000.000000,180000.000000,177500.000000,179000.000000,90996.000000,213400
2005-01-31,177500.000000,180500.000000,177500.000000,179000.000000,90996.000000,234100
2005-02-01,177000.000000,178000.000000,176000.000000,177500.000000,90233.476563,205100
2005-02-02,179000.000000,179500.000000,178000.000000,178000.000000,90487.632813,252100
2005-02-03,178500.000000,179000.000000,177000.000000,177000.000000,89979.265625,155900
2005-02-04,177000.000000,178500.000000,176000.000000,176500.000000,89725.093750,177500
2005-02-07,177000.000000,179500.000000,176500.000000,179500.000000,91250.171875,268500
2005-02-08,179500.000000,179500.000000,179500.000000,179500.000000,91250.171875,0
2005-02-09,179500.000000,179500.000000,179500.000000,179500.000000,91250.171875,0
2005-02-10,179500.000000,179500.000000,179500.000000,179500.000000,91250.171875,0
2005-02-11,179500.000000,179500.000000,177000.000000,178500.000000,90741.820313,252400
2005-02-14,180000.000000,184000.000000,179000.000000,183500.000000,93283.601563,247900
2005-02-15,182500.000000,184000.000000,180500.000000,184000.000000,93537.781250,192400
2005-02-16,183000.000000,184000.000000,181000.000000,182000.000000,92521.039063,181800
2005-02-17,182500.000000,183000.000000,178000.000000,178500.000000,90741.820313,228800
2005-02-18,178500.000000,180500.000000,176500.000000,179500.000000,91250.171875,886100
2005-02-21,179500.000000,180000.000000,177500.000000,179000.000000,90996.000000,283100
2005-02-22,178500.000000,182000.000000,178000.000000,181500.000000,92266.859375,271800
2005-02-23,181500.000000,182000.000000,179000.000000,181000.000000,92012.703125,174100
2005-02-24,181500.000000,182500.000000,180500.000000,181000.000000,92012.703125,194900
2005-02-25,182000.000000,183000.000000,179500.000000,183000.000000,93029.414063,270500
2005-02-28,182000.000000,182500.000000,179500.000000,181000.000000,92012.703125,293200
2005-03-01,181000.000000,181000.000000,181000.000000,181000.000000,92012.703125,0
2005-03-02,181500.000000,184500.000000,181000.000000,181500.000000,92266.859375,286700
2005-03-03,182500.000000,182500.000000,179500.000000,180000.000000,91504.312500,156800
2005-03-04,179500.000000,181000.000000,179000.000000,180500.000000,91758.523438,157700
2005-03-07,180000.000000,181500.000000,179500.000000,181500.000000,92266.859375,180400
2005-03-08,180500.000000,181000.000000,180000.000000,180500.000000,91758.523438,159100
2005-03-09,180500.000000,185500.000000,179500.000000,184500.000000,93791.945313,230200
2005-03-10,184000.000000,184000.000000,180000.000000,180000.000000,91504.312500,260400
2005-03-11,180500.000000,184500.000000,180500.000000,181000.000000,92012.703125,202000
2005-03-14,181000.000000,182000.000000,180000.000000,181000.000000,92012.703125,149700
2005-03-15,181000.000000,181500.000000,177500.000000,178000.000000,90487.632813,242700
2005-03-16,177000.000000,180500.000000,176500.000000,180500.000000,91758.523438,205900
2005-03-17,178000.000000,181000.000000,177000.000000,179500.000000,91250.171875,168000
2005-03-18,180000.000000,181500.000000,179000.000000,181500.000000,92266.859375,156800
