Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,19306.988281,19965.181641,19087.591797,19690.935547,14703.048828,1531921
2005-01-05,19581.236328,20787.921875,19416.687500,20294.277344,15153.555664,1434837
2005-01-06,20074.880859,20513.675781,19471.537109,19471.537109,14539.222656,1428639
2005-01-07,19526.386719,19910.332031,19361.837891,19745.783203,14744.001953,707847
2005-01-10,20074.880859,20842.771484,19526.386719,20733.072266,15481.203125,1310588
2005-01-11,20787.921875,21281.566406,20513.675781,20842.771484,15563.116211,1073029
2005-01-12,21062.169922,21391.265625,20568.525391,20842.771484,15563.116211,961997
2005-01-13,21062.169922,21226.718750,20513.675781,21117.019531,15767.889648,3489828
2005-01-14,21117.019531,22104.308594,20897.621094,21939.759766,16382.227539,684237
2005-01-17,22049.458984,22543.103516,21665.513672,22049.458984,16464.140625,743125
2005-01-18,22159.158203,23804.638672,21939.759766,23585.242188,17610.890625,1566744
2005-01-19,23530.392578,23530.392578,22543.103516,22652.802734,16914.650391,865369
2005-01-20,22323.705078,22378.554688,21555.814453,21775.210938,16259.359375,1302748
2005-01-21,21775.210938,22049.458984,21336.416016,21939.759766,16382.227539,661265
2005-01-24,21500.964844,21939.759766,21391.265625,21610.664063,16136.492188,457616
2005-01-25,21446.115234,21610.664063,20678.224609,20678.224609,15440.246094,545584
2005-01-26,20678.224609,21336.416016,20678.224609,20842.771484,15563.116211,559805
2005-01-27,21117.019531,21446.115234,20952.470703,21117.019531,15767.889648,449138
2005-01-28,21446.115234,22323.705078,21446.115234,21830.060547,16300.311523,593716
2005-01-31,21939.759766,22049.458984,21610.664063,21939.759766,16382.227539,573114
2005-02-01,21884.910156,22159.158203,21336.416016,21336.416016,15931.710938,334370
2005-02-02,21281.566406,21775.210938,21281.566406,21610.664063,16136.492188,462539
2005-02-03,21610.664063,21884.910156,21281.566406,21500.964844,16054.581055,375938
2005-02-04,21446.115234,21939.759766,21117.019531,21884.910156,16341.272461,399457
2005-02-07,22104.308594,22762.501953,21994.609375,22488.253906,16791.775391,679679
2005-02-08,22488.253906,22488.253906,22488.253906,22488.253906,16791.775391,0
2005-02-09,22488.253906,22488.253906,22488.253906,22488.253906,16791.775391,0
2005-02-10,22488.253906,22488.253906,22488.253906,22488.253906,16791.775391,0
2005-02-11,22488.253906,22872.199219,22104.308594,22707.652344,16955.603516,609031
2005-02-14,22817.349609,23694.941406,22817.349609,23201.296875,17324.203125,780227
