Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,31000.000000,32250.000000,31000.000000,31800.000000,23101.488281,146000
2005-01-05,31200.000000,31750.000000,30550.000000,31700.000000,23028.841797,334100
2005-01-06,31200.000000,31600.000000,29150.000000,29200.000000,21212.687500,482100
2005-01-07,28850.000000,29300.000000,27750.000000,29200.000000,21212.687500,312200
2005-01-10,29000.000000,30400.000000,29000.000000,30350.000000,22048.115234,191700
2005-01-11,29900.000000,30700.000000,29600.000000,30600.000000,22229.732422,98300
2005-01-12,30600.000000,30600.000000,29400.000000,30300.000000,22011.792969,101000
2005-01-13,29600.000000,30700.000000,29350.000000,30700.000000,22302.378906,106300
2005-01-14,30500.000000,30900.000000,30000.000000,30900.000000,22447.671875,92800
2005-01-17,30600.000000,30950.000000,29600.000000,29600.000000,21503.269531,312000
2005-01-18,29650.000000,30050.000000,29250.000000,29800.000000,21648.564453,186200
2005-01-19,29850.000000,29850.000000,28800.000000,28800.000000,20922.101563,194100
2005-01-20,28200.000000,30000.000000,28200.000000,29700.000000,21575.917969,254400
2005-01-21,30300.000000,32250.000000,30250.000000,31900.000000,23174.132813,550400
2005-01-24,32400.000000,33700.000000,32000.000000,33700.000000,24481.759766,503700
2005-01-25,34200.000000,35050.000000,33600.000000,34400.000000,24990.287109,288700
2005-01-26,34400.000000,35500.000000,33800.000000,35150.000000,25535.134766,302600
2005-01-27,35000.000000,35100.000000,33250.000000,34350.000000,24953.964844,172000
2005-01-28,33900.000000,35000.000000,33150.000000,35000.000000,25426.160156,149600
2005-01-31,36050.000000,37750.000000,35850.000000,36700.000000,26661.148438,372200
2005-02-01,37000.000000,37350.000000,34900.000000,35800.000000,26007.326172,241600
2005-02-02,35800.000000,36950.000000,35100.000000,36300.000000,26370.566406,135400
2005-02-03,36350.000000,36850.000000,35850.000000,36200.000000,26297.921875,77300
2005-02-04,35950.000000,37000.000000,35950.000000,36900.000000,26806.437500,117400
2005-02-07,37400.000000,37800.000000,36600.000000,37100.000000,26951.728516,115100
2005-02-08,37100.000000,37100.000000,37100.000000,37100.000000,26951.728516,0
2005-02-09,37100.000000,37100.000000,37100.000000,37100.000000,26951.728516,0
2005-02-10,37100.000000,37100.000000,37100.000000,37100.000000,26951.728516,0
2005-02-11,36700.000000,37700.000000,36350.000000,37150.000000,26988.058594,133500
2005-02-14,37500.000000,37600.000000,36600.000000,36600.000000,26588.501953,163500
2005-02-15,36500.000000,36950.000000,35850.000000,36700.000000,26661.148438,135700
2005-02-16,36300.000000,36800.000000,35800.000000,36150.000000,26261.597656,142700
2005-02-17,36150.000000,38900.000000,36150.000000,38900.000000,28259.371094,314000
2005-02-18,38500.000000,39850.000000,37900.000000,38950.000000,28295.687500,147300
2005-02-21,38950.000000,39200.000000,38000.000000,38350.000000,27859.808594,153100
2005-02-22,38500.000000,39000.000000,36900.000000,37000.000000,26879.087891,138100
2005-02-23,37450.000000,39750.000000,37250.000000,39100.000000,28404.654297,233800
2005-02-24,40000.000000,40550.000000,39600.000000,39600.000000,28767.886719,154000
2005-02-25,40200.000000,40200.000000,38700.000000,39250.000000,28513.623047,84900
2005-02-28,39250.000000,39600.000000,38300.000000,39250.000000,28513.623047,111600
2005-03-01,39250.000000,39250.000000,39250.000000,39250.000000,28513.623047,0
2005-03-02,40950.000000,41000.000000,38800.000000,39300.000000,28549.953125,145000
2005-03-03,38800.000000,38800.000000,38100.000000,38500.000000,27968.779297,140100
2005-03-04,38800.000000,38900.000000,38000.000000,38700.000000,28114.070313,131400
2005-03-07,38400.000000,39000.000000,37200.000000,37300.000000,27097.027344,147600
2005-03-08,38000.000000,38300.000000,36000.000000,36400.000000,26443.210938,121200
2005-03-09,36400.000000,37400.000000,35750.000000,35800.000000,26007.326172,125200
2005-03-10,36900.000000,39100.000000,36800.000000,37200.000000,27024.376953,313400
2005-03-11,37200.000000,39600.000000,37200.000000,38650.000000,28077.753906,244400
2005-03-14,38500.000000,39600.000000,37600.000000,38650.000000,28077.753906,116200
2005-03-15,38250.000000,38500.000000,36950.000000,36950.000000,26842.763672,146300
2005-03-16,36050.000000,36350.000000,35300.000000,35800.000000,26007.326172,134700
2005-03-17,35150.000000,35400.000000,33950.000000,34200.000000,24844.994141,238000
2005-03-18,34000.000000,35350.000000,33350.000000,33700.000000,24481.759766,189000
2005-03-21,33100.000000,35300.000000,32100.000000,34800.000000,25280.873047,376500
2005-03-22,34800.000000,35200.000000,34100.000000,34800.000000,25280.873047,162400
2005-03-23,34700.000000,35250.000000,32500.000000,33500.000000,24336.470703,122300
2005-03-24,32800.000000,33750.000000,30050.000000,31800.000000,23101.488281,420300
2005-03-25,31500.000000,32300.000000,31500.000000,32300.000000,23464.712891,121800
2005-03-28,32800.000000,33150.000000,32300.000000,32450.000000,23573.685547,108000
2005-03-29,32000.000000,32900.000000,31150.000000,31950.000000,23210.457031,128300
2005-03-30,31400.000000,32900.000000,30850.000000,32850.000000,23864.273438,143800
2005-03-31,33250.000000,34600.000000,32650.000000,33900.000000,24627.054688,148700
2005-04-01,34000.000000,34400.000000,33550.000000,34100.000000,24772.351563,155900
2005-04-04,34500.000000,34500.000000,33500.000000,34000.000000,24699.705078,148500
2005-04-05,34000.000000,34000.000000,34000.000000,34000.000000,24699.705078,0
2005-04-06,34500.000000,35900.000000,34050.000000,35600.000000,25862.037109,210200
2005-04-07,36000.000000,37050.000000,35600.000000,35600.000000,25862.037109,283500
2005-04-08,36200.000000,36450.000000,34300.000000,34650.000000,25171.904297,181100
2005-04-11,34250.000000,34250.000000,33350.000000,33700.000000,24481.759766,135800
2005-04-12,33600.000000,34300.000000,32700.000000,32700.000000,23755.304688,199900
2005-04-13,32800.000000,33200.000000,32000.000000,32250.000000,23428.394531,173500
2005-04-14,31400.000000,31700.000000,30700.000000,30700.000000,22302.378906,296100
2005-04-15,30300.000000,30500.000000,29550.000000,29750.000000,21612.238281,192500
2005-04-18,29000.000000,29500.000000,27450.000000,27700.000000,20122.992188,244400
2005-04-19,28100.000000,29000.000000,27900.000000,28900.000000,20994.746094,294600
2005-04-20,29150.000000,29300.000000,28350.000000,28600.000000,20776.806641,202600
2005-04-21,27800.000000,29200.000000,27500.000000,29200.000000,21212.687500,202600
2005-04-22,30000.000000,30000.000000,29200.000000,29450.000000,21394.300781,137100
2005-04-25,28750.000000,29500.000000,28400.000000,29000.000000,21067.392578,57700
2005-04-26,29800.000000,30800.000000,29600.000000,30400.000000,22084.435547,353400
2005-04-27,30350.000000,31200.000000,29700.000000,31200.000000,22665.609375,179500
2005-04-28,31800.000000,32450.000000,31200.000000,31200.000000,22665.609375,307500
