Date,Open,High,Low,Close,Adj Close,Volume
2007-07-25,160000.000000,170000.000000,155000.000000,169500.000000,123531.734375,2853735
2007-07-26,168000.000000,169500.000000,150000.000000,150000.000000,109320.140625,2132041
2007-07-27,147000.000000,159000.000000,139000.000000,148000.000000,107862.500000,1205584
2007-07-30,145000.000000,157500.000000,145000.000000,157500.000000,114786.109375,569823
2007-07-31,155000.000000,159000.000000,152500.000000,157000.000000,114421.703125,368700
2007-08-01,153000.000000,155000.000000,146000.000000,147500.000000,107498.101563,401636
2007-08-02,150000.000000,151000.000000,139000.000000,143000.000000,104218.492188,463777
2007-08-03,146000.000000,146000.000000,137000.000000,137000.000000,99845.695313,664600
2007-08-06,135000.000000,140500.000000,132500.000000,137500.000000,100210.109375,433102
2007-08-07,140500.000000,141500.000000,132500.000000,132500.000000,96566.101563,457116
2007-08-08,134000.000000,138000.000000,133000.000000,136000.000000,99116.914063,459631
2007-08-09,138000.000000,142000.000000,134500.000000,135500.000000,98752.500000,499899
2007-08-10,131000.000000,132000.000000,128000.000000,128500.000000,93650.898438,446585
2007-08-13,130000.000000,133500.000000,127500.000000,132000.000000,96201.703125,537648
2007-08-14,131500.000000,132000.000000,120500.000000,120500.000000,87820.484375,496348
2007-08-16,114000.000000,119000.000000,111500.000000,111500.000000,81261.289063,801013
2007-08-17,113500.000000,118000.000000,110500.000000,112000.000000,81625.695313,408078
2007-08-20,119000.000000,125000.000000,117000.000000,125000.000000,91100.085938,568203
2007-08-21,124000.000000,128000.000000,121000.000000,128000.000000,93286.507813,356646
2007-08-22,127000.000000,128000.000000,122500.000000,124000.000000,90371.289063,608050
2007-08-23,128000.000000,130500.000000,126000.000000,130000.000000,94744.085938,435448
2007-08-24,132500.000000,137000.000000,132000.000000,134000.000000,97659.304688,527467
2007-08-27,142000.000000,144500.000000,135000.000000,136000.000000,99116.914063,519403
2007-08-28,138000.000000,139000.000000,133000.000000,136000.000000,99116.914063,463325
2007-08-29,128500.000000,132000.000000,128500.000000,130000.000000,94744.085938,653450
2007-08-30,132500.000000,133500.000000,128500.000000,131000.000000,95472.906250,557995
2007-08-31,130000.000000,130500.000000,127000.000000,128500.000000,93650.898438,429104
2007-09-03,129500.000000,145000.000000,128500.000000,145000.000000,105676.093750,676331
2007-09-04,142000.000000,147000.000000,140500.000000,141000.000000,102760.914063,451222
2007-09-05,143500.000000,144000.000000,138000.000000,142000.000000,103489.718750,456611
2007-09-06,140000.000000,151000.000000,138500.000000,150500.000000,109684.500000,735704
2007-09-07,155000.000000,159000.000000,152000.000000,158000.000000,115150.531250,1020724
2007-09-10,153500.000000,159500.000000,152000.000000,157000.000000,114421.703125,543400
2007-09-11,157500.000000,160000.000000,155000.000000,156000.000000,113692.914063,477034
2007-09-12,159000.000000,159000.000000,156000.000000,157500.000000,114786.109375,591737
2007-09-13,159500.000000,163500.000000,155000.000000,163500.000000,119158.906250,1087291
2007-09-14,162500.000000,163000.000000,159000.000000,159000.000000,115879.289063,642444
2007-09-17,159000.000000,160500.000000,153000.000000,157000.000000,114421.703125,427193
2007-09-18,160000.000000,160000.000000,148500.000000,148500.000000,108226.929688,278896
2007-09-19,154000.000000,156000.000000,151000.000000,156000.000000,113692.914063,372333
2007-09-20,156000.000000,156000.000000,148500.000000,149000.000000,108591.312500,476325
2007-09-21,149500.000000,153500.000000,148500.000000,151000.000000,110048.921875,365078
2007-09-27,152000.000000,165000.000000,150500.000000,165000.000000,120252.117188,719512
2007-09-28,162000.000000,162500.000000,158500.000000,160000.000000,116608.148438,435425
