Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,80600.000000,82700.000000,80600.000000,82100.000000,56850.636719,71700
2005-01-05,81900.000000,81900.000000,81000.000000,81700.000000,56573.648438,43900
2005-01-06,81700.000000,82300.000000,79900.000000,79900.000000,55327.226563,81200
2005-01-07,79300.000000,80000.000000,76900.000000,76900.000000,53249.851563,184400
2005-01-10,77900.000000,78800.000000,77100.000000,78600.000000,54427.035156,70700
2005-01-11,78200.000000,80500.000000,77400.000000,80100.000000,55465.726563,101600
2005-01-12,79500.000000,80100.000000,77600.000000,78500.000000,54357.789063,149100
2005-01-13,78000.000000,78400.000000,77500.000000,77900.000000,53942.312500,137100
2005-01-14,78400.000000,78400.000000,77200.000000,78000.000000,54011.554688,236900
2005-01-17,79000.000000,80000.000000,78300.000000,79500.000000,55050.246094,224600
2005-01-18,79500.000000,79500.000000,77600.000000,78100.000000,54080.808594,272700
2005-01-19,78900.000000,78900.000000,78000.000000,78000.000000,54011.554688,168900
2005-01-20,78000.000000,78500.000000,77600.000000,77600.000000,53734.582031,120100
2005-01-21,77900.000000,79300.000000,77700.000000,79000.000000,54704.015625,153400
2005-01-24,78600.000000,80800.000000,78600.000000,79600.000000,55119.484375,143500
2005-01-25,80000.000000,80200.000000,78900.000000,79500.000000,55050.246094,153800
2005-01-26,80000.000000,80400.000000,79400.000000,80100.000000,55465.726563,74900
2005-01-27,80300.000000,81600.000000,79900.000000,80400.000000,55673.464844,219900
2005-01-28,81000.000000,81000.000000,80000.000000,80300.000000,55604.210938,113200
2005-01-31,80000.000000,80200.000000,79500.000000,80000.000000,55396.476563,167500
2005-02-01,79900.000000,79900.000000,77700.000000,78000.000000,54011.554688,251800
2005-02-02,78200.000000,78400.000000,77500.000000,78000.000000,54011.554688,189600
2005-02-03,77700.000000,78400.000000,77700.000000,78000.000000,54011.554688,117300
2005-02-04,77700.000000,78400.000000,77700.000000,77800.000000,53873.058594,128900
2005-02-07,77800.000000,79300.000000,77800.000000,79100.000000,54773.261719,135700
2005-02-08,79100.000000,79100.000000,79100.000000,79100.000000,54773.261719,0
2005-02-09,79100.000000,79100.000000,79100.000000,79100.000000,54773.261719,0
2005-02-10,79100.000000,79100.000000,79100.000000,79100.000000,54773.261719,0
2005-02-11,78600.000000,79600.000000,78100.000000,78400.000000,54288.546875,120800
2005-02-14,78600.000000,80800.000000,78600.000000,79500.000000,55050.246094,201800
2005-02-15,79500.000000,79900.000000,78900.000000,79500.000000,55050.246094,218100
2005-02-16,80000.000000,80600.000000,79300.000000,80000.000000,55396.476563,224200
2005-02-17,80000.000000,81500.000000,79600.000000,81000.000000,56088.933594,223600
2005-02-18,81500.000000,84000.000000,81200.000000,83900.000000,58097.054688,206100
2005-02-21,83000.000000,83700.000000,82100.000000,83600.000000,57889.324219,129000
2005-02-22,82600.000000,83300.000000,79900.000000,79900.000000,55327.226563,140700
2005-02-23,80500.000000,80500.000000,79200.000000,79700.000000,55188.742188,94900
2005-02-24,80700.000000,81000.000000,79600.000000,81000.000000,56088.933594,141200
2005-02-25,80600.000000,81800.000000,80200.000000,80300.000000,55604.210938,202100
2005-02-28,80600.000000,82400.000000,80500.000000,82000.000000,56781.382813,254100
2005-03-01,82000.000000,82000.000000,82000.000000,82000.000000,56781.382813,0
2005-03-02,83100.000000,83200.000000,79700.000000,79800.000000,55257.980469,280500
2005-03-03,80400.000000,80900.000000,78200.000000,78600.000000,54427.035156,296400
2005-03-04,78900.000000,79100.000000,77800.000000,77800.000000,53873.058594,236200
2005-03-07,78200.000000,79000.000000,76300.000000,77300.000000,53526.847656,341400
2005-03-08,78800.000000,78800.000000,76600.000000,76600.000000,53042.121094,204400
2005-03-09,77000.000000,77000.000000,75900.000000,76500.000000,52972.875000,159800
2005-03-10,76900.000000,77100.000000,76400.000000,76700.000000,53111.375000,188800
2005-03-11,77000.000000,78600.000000,76900.000000,78200.000000,54150.054688,157800
2005-03-14,77600.000000,79400.000000,77100.000000,78800.000000,54565.515625,255000
2005-03-15,79200.000000,80300.000000,78400.000000,78800.000000,54565.515625,243900
2005-03-16,79400.000000,80200.000000,79100.000000,79700.000000,55188.742188,267700
2005-03-17,80200.000000,80200.000000,78800.000000,79100.000000,54773.261719,172900
2005-03-18,79500.000000,79700.000000,77800.000000,77800.000000,53873.058594,231100
2005-03-21,77400.000000,77800.000000,76200.000000,76400.000000,52903.632813,195600
2005-03-22,76600.000000,77700.000000,76200.000000,77600.000000,53734.582031,132600
2005-03-23,77800.000000,77800.000000,75900.000000,76000.000000,52626.652344,152200
2005-03-24,76100.000000,76300.000000,74200.000000,74200.000000,51380.222656,209700
2005-03-25,74400.000000,75000.000000,74300.000000,75000.000000,51934.195313,65000
2005-03-28,75600.000000,77000.000000,75500.000000,76500.000000,52972.875000,66100
2005-03-29,76800.000000,77600.000000,75800.000000,76300.000000,52834.378906,186600
2005-03-30,74000.000000,76200.000000,74000.000000,74700.000000,52763.753906,120300
2005-03-31,76000.000000,76900.000000,75100.000000,76900.000000,54317.699219,129200
2005-04-01,76800.000000,77900.000000,76600.000000,77600.000000,54812.148438,83400
2005-04-04,77600.000000,77800.000000,75400.000000,75600.000000,53399.457031,112400
