Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,22445.472656,22921.011719,22350.365234,22825.904297,15828.619141,7342184
2005-01-05,22445.472656,23253.890625,22397.917969,23111.228516,16026.477539,4772998
2005-01-06,22825.904297,23016.119141,21969.931641,22350.365234,15498.854492,8185752
2005-01-07,22065.041016,22730.796875,21684.609375,22255.255859,15432.901367,8301515
2005-01-10,22255.255859,22683.242188,22065.041016,22493.025391,15597.787109,4366617
2005-01-11,22445.472656,23206.335938,22445.472656,23206.335938,16092.432617,10010521
2005-01-12,22873.457031,23301.443359,22635.687500,23301.443359,16158.383789,7804080
2005-01-13,23301.443359,23396.550781,22778.349609,23301.443359,16158.383789,7301914
2005-01-14,23206.335938,24632.955078,22968.566406,24632.955078,17081.720703,15132386
2005-01-17,24585.400391,24632.955078,23919.644531,24157.416016,16751.957031,11942326
2005-01-18,24728.062500,25060.939453,24347.630859,24680.507813,17114.695313,14366204
2005-01-19,24632.955078,25298.710938,24537.847656,24870.724609,17246.601563,10198623
2005-01-20,24537.847656,24632.955078,24109.861328,24109.861328,16718.980469,11818993
2005-01-21,24252.523438,24632.955078,24014.753906,24252.523438,16817.910156,6591143
2005-01-24,24252.523438,24728.062500,23586.767578,23872.091797,16554.097656,6571586
2005-01-25,23396.550781,24062.306641,23396.550781,23872.091797,16554.097656,8529887
2005-01-26,23872.091797,24490.292969,23872.091797,24395.185547,16916.841797,4667013
2005-01-27,24632.955078,24632.955078,24157.416016,24204.968750,16784.935547,8490984
2005-01-28,24204.968750,24395.185547,23634.322266,23872.091797,16554.097656,5350657
2005-01-31,24204.968750,24728.062500,24109.861328,24490.292969,16982.794922,9350008
2005-02-01,24823.169922,24823.169922,24157.416016,24300.076172,16850.886719,7275102
2005-02-02,24347.630859,24585.400391,24109.861328,24395.185547,16916.841797,4186927
2005-02-03,24823.169922,25251.156250,24680.507813,25251.156250,17510.410156,11273612
2005-02-04,25393.818359,26154.681641,25298.710938,25964.464844,18005.054688,10507115
2005-02-07,26154.681641,26487.558594,26012.019531,26392.451172,18301.837891,10133118
2005-02-08,26392.451172,26392.451172,26392.451172,26392.451172,18301.837891,0
2005-02-09,26392.451172,26392.451172,26392.451172,26392.451172,18301.837891,0
2005-02-10,26392.451172,26392.451172,26392.451172,26392.451172,18301.837891,0
2005-02-11,26630.220703,26772.882813,26249.789063,26772.882813,18565.654297,6816886
2005-02-14,26725.330078,26915.544922,26344.898438,26630.220703,18466.724609,5989090
2005-02-15,26630.220703,26677.775391,26392.451172,26535.113281,18400.771484,7783262
2005-02-16,26535.113281,26630.220703,25964.464844,26107.126953,18103.982422,9323302
2005-02-17,26440.005859,26725.330078,26107.126953,26440.005859,18334.816406,9538426
2005-02-18,26440.005859,26820.437500,26297.343750,26820.437500,18598.628906,5668296
2005-02-21,26915.544922,27200.869141,26677.775391,27105.761719,18796.484375,12318425
2005-02-22,27105.761719,27105.761719,26344.898438,26630.220703,18466.724609,9205646
2005-02-23,26154.681641,26392.451172,25726.695313,25869.357422,17939.105469,6723203
2005-02-24,26249.789063,26677.775391,26012.019531,26630.220703,18466.724609,8553860
