Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,25940.593750,26336.632813,25841.583984,26039.603516,17498.966797,1117464
2005-01-05,25643.564453,26138.613281,25247.525391,26039.603516,17498.966797,1126352
2005-01-06,25742.574219,26089.109375,25495.048828,25643.564453,17232.820313,1296537
2005-01-07,25643.564453,25841.583984,25495.048828,25643.564453,17232.820313,914555
2005-01-10,25594.058594,25643.564453,25247.525391,25643.564453,17232.820313,586305
2005-01-11,25396.039063,25643.564453,25297.029297,25544.554688,17166.285156,1534291
2005-01-12,25544.554688,25841.583984,25247.525391,25297.029297,16999.947266,1230887
2005-01-13,25297.029297,26039.603516,25297.029297,26039.603516,17498.966797,1321484
2005-01-14,25643.564453,26287.128906,25544.554688,26138.613281,17565.500000,1252602
2005-01-17,26287.128906,26287.128906,25742.574219,25891.089844,17399.162109,775781
2005-01-18,26039.603516,26831.683594,25990.099609,26435.644531,17765.115234,2119889
2005-01-19,26534.654297,26831.683594,26435.644531,26435.644531,17765.115234,931826
2005-01-20,26534.654297,26782.177734,26435.644531,26633.664063,17898.189453,1574186
2005-01-21,26336.632813,26732.673828,26237.623047,26633.664063,17898.189453,744370
2005-01-24,26633.664063,27277.228516,26584.158203,26683.167969,17931.451172,1147562
2005-01-25,26831.683594,27178.218750,26732.673828,27079.207031,18197.587891,1056258
2005-01-26,26930.693359,27376.238281,26930.693359,27227.722656,18297.398438,746794
2005-01-27,27425.742188,27722.771484,27326.732422,27673.267578,18596.810547,1559238
2005-01-28,27524.751953,27772.277344,27425.742188,27425.742188,18430.470703,1649027
2005-01-31,27425.742188,27425.742188,26732.673828,26980.197266,18131.056641,815272
2005-02-01,26980.197266,27277.228516,26435.644531,26534.654297,17831.646484,2063935
2005-02-02,26039.603516,26336.632813,25792.080078,25940.593750,17432.431641,1425211
2005-02-03,25693.068359,26435.644531,25693.068359,26138.613281,17565.500000,917484
2005-02-04,26435.644531,27029.703125,26287.128906,26732.673828,17964.720703,1664783
2005-02-07,26831.683594,27227.722656,26782.177734,26980.197266,18131.056641,1074135
2005-02-08,26980.197266,26980.197266,26980.197266,26980.197266,18131.056641,0
2005-02-09,26980.197266,26980.197266,26980.197266,26980.197266,18131.056641,0
2005-02-10,26980.197266,26980.197266,26980.197266,26980.197266,18131.056641,0
2005-02-11,26881.187500,27326.732422,26782.177734,27227.722656,18297.398438,1125342
2005-02-14,27376.238281,27772.277344,27376.238281,27425.742188,18430.470703,1251996
2005-02-15,27425.742188,27722.771484,26435.644531,27227.722656,18297.398438,1776590
2005-02-16,27475.248047,27475.248047,26683.167969,27128.712891,18230.863281,1563884
2005-02-17,27227.722656,27524.751953,27128.712891,27425.742188,18430.470703,1777499
2005-02-18,27326.732422,28118.812500,27079.207031,28118.812500,18896.224609,1529948
2005-02-21,28267.326172,28514.851563,27821.781250,27920.792969,18763.152344,2847392
2005-02-22,28514.851563,28514.851563,27425.742188,27920.792969,18763.152344,1729726
2005-02-23,27178.218750,27673.267578,27029.703125,27277.228516,18330.666016,1254925
2005-02-24,27425.742188,27871.287109,27425.742188,27722.771484,18630.076172,898799
2005-02-25,27623.761719,28069.306641,27623.761719,27722.771484,18630.076172,1121201
2005-02-28,27722.771484,28663.367188,27623.761719,28465.345703,19129.095703,1840018
2005-03-01,28465.345703,28465.345703,28465.345703,28465.345703,19129.095703,0
2005-03-02,28712.871094,28762.376953,28118.812500,28118.812500,18896.224609,1355521
2005-03-03,28564.355469,28564.355469,28168.316406,28465.345703,19129.095703,608626
2005-03-04,28613.861328,28910.890625,28366.335938,28366.335938,19062.560547,900718
2005-03-07,28415.841797,28762.376953,28118.812500,28217.822266,18962.755859,1388851
2005-03-08,28762.376953,28762.376953,28019.802734,28118.812500,18896.224609,739825
2005-03-09,28069.306641,28514.851563,27920.792969,28316.832031,19029.292969,1262298
2005-03-10,28316.832031,28465.345703,28267.326172,28316.832031,19029.292969,1733261
2005-03-11,28316.832031,28960.396484,28316.832031,28762.376953,19328.708984,1092214
2005-03-14,28514.851563,28861.386719,28514.851563,28712.871094,19295.437500,762651
2005-03-15,28712.871094,28811.880859,28069.306641,28118.812500,18896.224609,1174832
2005-03-16,28514.851563,29207.919922,28514.851563,28712.871094,19295.437500,2468541
2005-03-17,28415.841797,28712.871094,27920.792969,28019.802734,18829.689453,1491972
2005-03-18,28118.812500,28514.851563,27722.771484,27821.781250,18696.615234,874256
2005-03-21,27722.771484,28712.871094,27673.267578,28712.871094,19295.437500,1053329
2005-03-22,28613.861328,28613.861328,27920.792969,27920.792969,18763.152344,683770
2005-03-23,28118.812500,28217.822266,27227.722656,27425.742188,18430.470703,789416
2005-03-24,27178.218750,27574.257813,27079.207031,27227.722656,18297.398438,947784
2005-03-25,27673.267578,28168.316406,27277.228516,28168.316406,18929.486328,393799
2005-03-28,27821.781250,28663.367188,27821.781250,28514.851563,19162.365234,373397
2005-03-29,28118.812500,28514.851563,27722.771484,27920.792969,18763.152344,456823
2005-03-30,27722.771484,28366.335938,27227.722656,27524.751953,18497.005859,281487
2005-03-31,27722.771484,28019.802734,27722.771484,27722.771484,18630.076172,342289
2005-04-01,27524.751953,28168.316406,27524.751953,27821.781250,18696.615234,467226
2005-04-04,28019.802734,28811.880859,27821.781250,28465.345703,19129.095703,650036
2005-04-05,28465.345703,28465.345703,28465.345703,28465.345703,19129.095703,0
