Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,10600.000000,10750.000000,10500.000000,10600.000000,8446.623047,549500
2005-01-05,10550.000000,10600.000000,10500.000000,10550.000000,8406.780273,581100
2005-01-06,10550.000000,10600.000000,10450.000000,10500.000000,8366.938477,606400
2005-01-07,10500.000000,10700.000000,10500.000000,10650.000000,8486.464844,455900
2005-01-10,10850.000000,10950.000000,10750.000000,10950.000000,8725.520508,817500
2005-01-11,11000.000000,11000.000000,10650.000000,11000.000000,8765.363281,869500
2005-01-12,11050.000000,11350.000000,10900.000000,11000.000000,8765.363281,7717800
2005-01-13,11250.000000,11500.000000,10900.000000,11100.000000,8845.047852,2269800
2005-01-14,11100.000000,11300.000000,10800.000000,11300.000000,9004.417969,1425800
2005-01-17,11300.000000,11500.000000,11150.000000,11200.000000,8924.733398,2253100
2005-01-18,11200.000000,11200.000000,11000.000000,11050.000000,8805.205078,730900
2005-01-19,11150.000000,11500.000000,11100.000000,11400.000000,9084.103516,2285700
2005-01-20,11300.000000,12050.000000,11300.000000,11950.000000,9522.373047,3635100
2005-01-21,11950.000000,12100.000000,11800.000000,12000.000000,9562.215820,1708600
2005-01-24,11850.000000,12550.000000,11850.000000,12250.000000,9761.424805,1490500
2005-01-25,12200.000000,12300.000000,12100.000000,12200.000000,9721.583984,1067300
2005-01-26,12300.000000,13050.000000,12300.000000,12950.000000,10319.222656,2896500
2005-01-27,12800.000000,12850.000000,12500.000000,12800.000000,10199.696289,2665900
2005-01-28,12650.000000,12700.000000,12100.000000,12500.000000,9960.639648,2037900
2005-01-31,12300.000000,12650.000000,12300.000000,12600.000000,10040.327148,1637500
2005-02-01,12550.000000,12650.000000,12150.000000,12200.000000,9721.583984,2730600
2005-02-02,12200.000000,12550.000000,12200.000000,12250.000000,9761.424805,2752400
2005-02-03,12250.000000,12700.000000,12100.000000,12700.000000,10120.010742,3911600
2005-02-04,12600.000000,13000.000000,12250.000000,12800.000000,10199.696289,4881300
2005-02-07,12850.000000,12950.000000,12700.000000,12750.000000,10159.852539,1751700
2005-02-08,12750.000000,12750.000000,12750.000000,12750.000000,10159.852539,0
2005-02-09,12750.000000,12750.000000,12750.000000,12750.000000,10159.852539,0
2005-02-10,12750.000000,12750.000000,12750.000000,12750.000000,10159.852539,0
2005-02-11,12750.000000,12750.000000,12300.000000,12600.000000,10040.327148,677100
2005-02-14,12700.000000,12900.000000,12600.000000,12800.000000,10199.696289,1351600
2005-02-15,12650.000000,12950.000000,12450.000000,12700.000000,10120.010742,1101000
2005-02-16,12700.000000,12850.000000,12550.000000,12800.000000,10199.696289,967100
2005-02-17,12950.000000,13050.000000,12550.000000,12600.000000,10040.327148,3325300
2005-02-18,12550.000000,12600.000000,12350.000000,12500.000000,9960.639648,3365900
2005-02-21,12800.000000,13150.000000,12700.000000,12750.000000,10159.852539,3301500
2005-02-22,12950.000000,13250.000000,12900.000000,13000.000000,10359.063477,3388300
2005-02-23,13050.000000,14100.000000,13050.000000,13700.000000,10916.862305,6930800
2005-02-24,13950.000000,14000.000000,13600.000000,13700.000000,10916.862305,3600300
2005-02-25,13750.000000,14450.000000,13700.000000,14200.000000,11315.289063,3240300
2005-02-28,14200.000000,14600.000000,14050.000000,14200.000000,11315.289063,2182700
2005-03-01,14200.000000,14200.000000,14200.000000,14200.000000,11315.289063,0
2005-03-02,14400.000000,15200.000000,14300.000000,14700.000000,11713.713867,4123700
2005-03-03,14700.000000,14750.000000,14350.000000,14500.000000,11554.341797,2934100
2005-03-04,14450.000000,14600.000000,13700.000000,14000.000000,11155.916016,3430400
2005-03-07,14150.000000,14300.000000,13750.000000,13800.000000,10996.545898,3135000
2005-03-08,14250.000000,14400.000000,14000.000000,14350.000000,11434.814453,2903300
2005-03-09,14150.000000,14800.000000,14000.000000,14800.000000,11793.397461,2597300
