Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,2050.000000,2060.000000,2010.000000,2030.000000,1274.196899,484500
2005-01-05,2000.000000,2030.000000,1972.000000,1984.000000,1245.323242,428500
2005-01-06,1962.000000,2000.000000,1962.000000,1984.000000,1245.323242,839000
2005-01-07,1990.000000,2010.000000,1980.000000,1984.000000,1245.323242,437000
2005-01-10,1984.000000,2010.000000,1960.000000,1960.000000,1230.259155,282500
2005-01-11,1964.000000,2000.000000,1934.000000,2000.000000,1255.366455,888000
2005-01-12,2010.000000,2010.000000,1948.000000,1948.000000,1222.726685,306000
2005-01-13,1960.000000,1990.000000,1936.000000,1990.000000,1249.089355,732000
2005-01-14,1950.000000,2000.000000,1934.000000,1994.000000,1251.600342,813000
2005-01-17,1980.000000,1990.000000,1964.000000,1966.000000,1234.025269,595500
2005-01-18,1968.000000,1982.000000,1950.000000,1950.000000,1223.982300,376500
2005-01-19,1972.000000,2010.000000,1966.000000,1988.000000,1247.834106,630500
2005-01-20,1980.000000,2020.000000,1980.000000,1998.000000,1254.111084,761500
2005-01-21,2040.000000,2040.000000,1998.000000,2020.000000,1267.919800,509500
2005-01-24,2020.000000,2060.000000,2000.000000,2030.000000,1274.196899,639500
2005-01-25,2010.000000,2030.000000,2000.000000,2000.000000,1255.366455,421500
2005-01-26,2010.000000,2100.000000,2000.000000,2090.000000,1311.858154,986500
2005-01-27,2070.000000,2150.000000,2070.000000,2120.000000,1330.688599,572500
2005-01-28,2130.000000,2130.000000,2050.000000,2060.000000,1293.027710,350000
2005-01-31,2040.000000,2060.000000,2000.000000,2000.000000,1255.366455,1297500
2005-02-01,2000.000000,2010.000000,1962.000000,1998.000000,1254.111084,2002500
2005-02-02,1998.000000,2010.000000,1982.000000,1994.000000,1251.600342,864500
2005-02-03,1970.000000,2020.000000,1970.000000,1994.000000,1251.600342,530000
2005-02-04,1996.000000,2030.000000,1986.000000,1986.000000,1246.578613,1038000
2005-02-07,1986.000000,1988.000000,1962.000000,1962.000000,1231.514526,3562000
2005-02-08,1962.000000,1962.000000,1962.000000,1962.000000,1231.514526,0
2005-02-09,1962.000000,1962.000000,1962.000000,1962.000000,1231.514526,0
2005-02-10,1962.000000,1962.000000,1962.000000,1962.000000,1231.514526,0
2005-02-11,1954.000000,1960.000000,1918.000000,1938.000000,1216.450073,2090000
2005-02-14,1950.000000,1980.000000,1928.000000,1974.000000,1239.046753,1416500
2005-02-15,1952.000000,1960.000000,1940.000000,1944.000000,1220.216309,1532500
2005-02-16,1944.000000,1950.000000,1930.000000,1932.000000,1212.683960,1600000
2005-02-17,1930.000000,1940.000000,1902.000000,1908.000000,1197.619507,1164500
2005-02-18,1884.000000,1974.000000,1884.000000,1974.000000,1239.046753,1784500
2005-02-21,1960.000000,1970.000000,1920.000000,1926.000000,1208.917969,2587000
2005-02-22,1910.000000,1930.000000,1888.000000,1892.000000,1187.576416,1368000
2005-02-23,1880.000000,1924.000000,1880.000000,1920.000000,1205.151978,1226500
2005-02-24,1904.000000,1920.000000,1868.000000,1890.000000,1186.321045,1273000
2005-02-25,1890.000000,1900.000000,1870.000000,1876.000000,1177.533447,1295000
2005-02-28,1866.000000,1868.000000,1806.000000,1814.000000,1138.617188,3241500
2005-03-01,1814.000000,1814.000000,1814.000000,1814.000000,1138.617188,0
2005-03-02,1806.000000,1846.000000,1806.000000,1826.000000,1146.149414,2472500
2005-03-03,1846.000000,1862.000000,1830.000000,1842.000000,1156.192261,1696500
2005-03-04,1840.000000,1852.000000,1808.000000,1816.000000,1139.872681,1384500
2005-03-07,1816.000000,1832.000000,1784.000000,1784.000000,1119.786987,2384000
2005-03-08,1768.000000,1786.000000,1718.000000,1740.000000,1092.168823,3508000
2005-03-09,1748.000000,1810.000000,1740.000000,1800.000000,1129.829712,3607000
2005-03-10,1782.000000,1846.000000,1782.000000,1800.000000,1129.829712,2869000
2005-03-11,1840.000000,1866.000000,1838.000000,1864.000000,1170.001709,2726000
2005-03-14,1874.000000,1898.000000,1844.000000,1890.000000,1186.321045,1695000
2005-03-15,1898.000000,1898.000000,1792.000000,1796.000000,1127.319092,1571500
2005-03-16,1800.000000,1812.000000,1788.000000,1796.000000,1127.319092,1416000
2005-03-17,1800.000000,1806.000000,1724.000000,1740.000000,1092.168823,1740500
2005-03-18,1736.000000,1770.000000,1736.000000,1736.000000,1089.658081,1502000
2005-03-21,1758.000000,1758.000000,1702.000000,1720.000000,1079.615234,933000
2005-03-22,1698.000000,1744.000000,1692.000000,1720.000000,1079.615234,908500
2005-03-23,1682.000000,1686.000000,1636.000000,1638.000000,1028.145142,2252000
2005-03-24,1650.000000,1738.000000,1650.000000,1724.000000,1082.125854,2034000
2005-03-25,1736.000000,1750.000000,1710.000000,1740.000000,1092.168823,616500
2005-03-28,1768.000000,1808.000000,1768.000000,1790.000000,1123.552979,1391500
2005-03-29,1792.000000,1792.000000,1740.000000,1760.000000,1104.722656,1142500
2005-03-30,1732.000000,1784.000000,1730.000000,1774.000000,1113.510132,393500
2005-03-31,1790.000000,1790.000000,1772.000000,1778.000000,1116.020874,672000
2005-04-01,1742.000000,1792.000000,1742.000000,1768.000000,1109.744019,676500
2005-04-04,1780.000000,1780.000000,1706.000000,1706.000000,1070.827759,621500
2005-04-05,1706.000000,1706.000000,1706.000000,1706.000000,1070.827759,0
2005-04-06,1728.000000,1730.000000,1698.000000,1712.000000,1074.593750,804500
2005-04-07,1696.000000,1728.000000,1696.000000,1712.000000,1074.593750,651500
2005-04-08,1692.000000,1720.000000,1692.000000,1700.000000,1067.061646,633500
2005-04-11,1682.000000,1702.000000,1682.000000,1686.000000,1058.274048,608000
2005-04-12,1700.000000,1700.000000,1680.000000,1680.000000,1054.507935,467000
2005-04-13,1700.000000,1744.000000,1696.000000,1740.000000,1092.168823,919000
2005-04-14,1730.000000,1740.000000,1648.000000,1648.000000,1034.422119,1539000
2005-04-15,1656.000000,1704.000000,1650.000000,1704.000000,1069.572266,1310000
2005-04-18,1680.000000,1700.000000,1652.000000,1680.000000,1054.507935,1665000
2005-04-19,1654.000000,1700.000000,1654.000000,1674.000000,1050.742065,507000
2005-04-20,1676.000000,1712.000000,1676.000000,1700.000000,1067.061646,1239000
2005-04-21,1680.000000,1692.000000,1632.000000,1660.000000,1041.954102,600000
2005-04-22,1682.000000,1700.000000,1664.000000,1700.000000,1067.061646,1161500
2005-04-25,1680.000000,1712.000000,1652.000000,1672.000000,1049.486206,659000
2005-04-26,1666.000000,1722.000000,1650.000000,1722.000000,1080.870605,1148000
2005-04-27,1710.000000,1710.000000,1652.000000,1660.000000,1041.954102,1030000
2005-04-28,1662.000000,1696.000000,1656.000000,1664.000000,1044.464844,798000
2005-04-29,1692.000000,1692.000000,1652.000000,1680.000000,1054.507935,821000
2005-05-02,1664.000000,1724.000000,1664.000000,1716.000000,1077.104492,643500
2005-05-03,1722.000000,1722.000000,1680.000000,1700.000000,1067.061646,305500
2005-05-04,1680.000000,1708.000000,1670.000000,1700.000000,1067.061646,672000
2005-05-05,1700.000000,1700.000000,1700.000000,1700.000000,1067.061646,0
2005-05-06,1684.000000,1708.000000,1684.000000,1684.000000,1057.018555,473000
2005-05-09,1690.000000,1698.000000,1652.000000,1656.000000,1039.443359,937500
2005-05-10,1652.000000,1680.000000,1652.000000,1664.000000,1044.464844,261000
2005-05-11,1644.000000,1674.000000,1644.000000,1652.000000,1036.932861,231500
2005-05-12,1640.000000,1670.000000,1638.000000,1638.000000,1028.145142,504000
2005-05-13,1638.000000,1652.000000,1610.000000,1650.000000,1035.677490,847500
2005-05-16,1632.000000,1670.000000,1632.000000,1634.000000,1025.634399,431500
2005-05-17,1650.000000,1692.000000,1650.000000,1680.000000,1054.507935,1180000
2005-05-18,1700.000000,1710.000000,1660.000000,1660.000000,1041.954102,419500
2005-05-19,1680.000000,1702.000000,1664.000000,1698.000000,1065.806152,713000
2005-05-20,1710.000000,1716.000000,1670.000000,1672.000000,1049.486206,342500
2005-05-23,1700.000000,1702.000000,1672.000000,1698.000000,1065.806152,295500
