Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,65000.000000,65700.000000,64500.000000,65100.000000,53303.515625,253800
2005-01-05,64500.000000,66700.000000,64300.000000,66500.000000,54449.824219,290800
2005-01-06,66000.000000,66400.000000,64200.000000,64500.000000,52812.242188,266300
2005-01-07,64700.000000,65700.000000,64300.000000,65000.000000,53221.636719,183000
2005-01-10,65600.000000,66200.000000,64900.000000,65800.000000,53876.675781,187100
2005-01-11,65200.000000,67000.000000,64800.000000,66100.000000,54122.316406,256500
2005-01-12,66200.000000,66800.000000,65700.000000,66500.000000,54449.824219,184400
2005-01-13,67000.000000,67600.000000,65400.000000,67000.000000,54859.230469,274700
2005-01-14,65700.000000,67900.000000,65300.000000,67900.000000,55596.128906,401500
2005-01-17,68100.000000,69200.000000,67500.000000,68900.000000,56414.933594,288500
2005-01-18,69300.000000,69300.000000,67900.000000,68000.000000,55678.023438,278700
2005-01-19,68000.000000,69200.000000,67400.000000,67400.000000,55186.738281,433500
2005-01-20,67000.000000,69000.000000,67000.000000,68400.000000,56005.542969,281400
2005-01-21,68700.000000,69300.000000,68600.000000,69000.000000,56496.824219,339800
2005-01-24,69500.000000,71000.000000,69100.000000,70600.000000,57806.882813,319900
2005-01-25,71000.000000,71100.000000,69400.000000,70000.000000,57315.609375,305200
2005-01-26,69800.000000,71900.000000,69800.000000,71000.000000,58134.414063,269600
2005-01-27,70000.000000,70300.000000,69300.000000,69500.000000,56906.214844,471800
2005-01-28,69200.000000,69500.000000,67900.000000,68200.000000,55841.789063,425700
2005-01-31,68200.000000,70100.000000,68000.000000,70100.000000,57397.476563,411200
2005-02-01,69900.000000,70000.000000,69000.000000,69400.000000,56824.335938,317600
2005-02-02,69000.000000,69900.000000,68300.000000,69000.000000,56496.824219,275500
2005-02-03,69000.000000,69300.000000,68500.000000,68500.000000,56087.406250,280600
2005-02-04,68500.000000,71000.000000,68200.000000,70200.000000,57479.371094,273500
2005-02-07,70500.000000,71700.000000,70500.000000,71000.000000,58134.414063,327400
2005-02-08,71000.000000,71000.000000,71000.000000,71000.000000,58134.414063,0
2005-02-09,71000.000000,71000.000000,71000.000000,71000.000000,58134.414063,0
2005-02-10,71000.000000,71000.000000,71000.000000,71000.000000,58134.414063,0
2005-02-11,71000.000000,71000.000000,69500.000000,70200.000000,57479.371094,283400
2005-02-14,70900.000000,72100.000000,70200.000000,71900.000000,58871.320313,325200
2005-02-15,71900.000000,72600.000000,71500.000000,72600.000000,59444.472656,283400
2005-02-16,72900.000000,73600.000000,72300.000000,73100.000000,59853.878906,327700
