Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,27850.000000,28300.000000,27550.000000,27550.000000,21222.693359,1029000
2005-01-05,27000.000000,27150.000000,26150.000000,26500.000000,20413.843750,1065200
2005-01-06,26000.000000,26300.000000,25500.000000,25500.000000,19643.509766,1175400
2005-01-07,25800.000000,26000.000000,25250.000000,25600.000000,19720.542969,899700
2005-01-10,25700.000000,26000.000000,25500.000000,25750.000000,19836.093750,892900
2005-01-11,25750.000000,26850.000000,25750.000000,26800.000000,20644.943359,1524700
2005-01-12,26700.000000,27650.000000,26700.000000,27300.000000,21030.111328,1738100
2005-01-13,27200.000000,27400.000000,26850.000000,27400.000000,21107.146484,1233900
2005-01-14,27100.000000,28300.000000,26900.000000,28300.000000,21800.445313,1702900
2005-01-17,28300.000000,28550.000000,27700.000000,28550.000000,21993.029297,1434800
2005-01-18,28500.000000,28500.000000,27500.000000,27600.000000,21261.210938,1468400
2005-01-19,27400.000000,27600.000000,26900.000000,27150.000000,20914.564453,1231000
2005-01-20,27200.000000,27300.000000,26800.000000,26800.000000,20644.943359,945500
2005-01-21,26800.000000,27850.000000,26800.000000,27650.000000,21299.726563,983400
2005-01-24,27500.000000,28000.000000,27000.000000,27600.000000,21261.210938,1136900
2005-01-25,27250.000000,27450.000000,26700.000000,26800.000000,20644.943359,727300
2005-01-26,26700.000000,27100.000000,26500.000000,26650.000000,20529.392578,1120400
2005-01-27,26500.000000,27150.000000,26450.000000,26850.000000,20683.462891,924300
2005-01-28,26850.000000,27300.000000,26850.000000,27100.000000,20876.042969,839600
2005-01-31,26800.000000,27850.000000,26800.000000,27800.000000,21415.277344,914200
2005-02-01,28000.000000,28000.000000,27600.000000,27700.000000,21338.244141,805700
2005-02-02,28000.000000,28200.000000,27750.000000,27800.000000,21415.277344,751100
2005-02-03,28250.000000,28350.000000,28000.000000,28150.000000,21684.896484,517700
2005-02-04,28000.000000,28100.000000,27650.000000,27650.000000,21299.726563,528100
2005-02-07,27800.000000,28150.000000,27800.000000,27950.000000,21530.828125,1096900
2005-02-08,27950.000000,27950.000000,27950.000000,27950.000000,21530.828125,0
