Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,22001.947266,22589.535156,21936.658203,22263.097656,16488.076172,519087
2005-01-05,22295.740234,23960.576172,22295.740234,23764.712891,17600.173828,1313264
2005-01-06,23830.001953,25201.042969,23275.056641,24352.302734,18035.341797,1153816
2005-01-07,24809.316406,24907.248047,24189.083984,24646.097656,18252.929688,663524
2005-01-10,24613.453125,24841.960938,23797.357422,24287.015625,17986.992188,394101
2005-01-11,23960.576172,24711.384766,23634.138672,24613.453125,18228.751953,498103
2005-01-12,24580.808594,24613.453125,23862.644531,23960.576172,17745.232422,230365
2005-01-13,23960.576172,24417.589844,23960.576172,24254.371094,17962.818359,457666
2005-01-14,23895.289063,24352.302734,23699.425781,24287.015625,17986.992188,656938
2005-01-17,24287.015625,25462.193359,24156.439453,25331.617188,18760.626953,817459
2005-01-18,25462.193359,25788.630859,25070.466797,25396.906250,18808.980469,488300
2005-01-19,25755.988281,26343.576172,25462.193359,26017.138672,19268.322266,778707
2005-01-20,26017.138672,26115.070313,25462.193359,25853.919922,19147.447266,366531
2005-01-21,25984.494141,27159.671875,25919.207031,27061.740234,20041.957031,1064825
2005-01-24,27420.824219,27649.330078,26637.371094,27224.960938,20162.837891,697834
2005-01-25,26898.521484,27322.892578,26702.658203,27029.097656,20017.781250,667966
2005-01-26,27127.029297,30228.193359,27127.029297,29575.316406,21903.517578,1867580
2005-01-27,29705.892578,29967.042969,28726.576172,29379.453125,21758.458984,567947
2005-01-28,29379.453125,29444.742188,28334.851563,28563.357422,21154.058594,550946
2005-01-31,28726.576172,30424.056641,28726.576172,28889.796875,21395.818359,1255213
2005-02-01,29510.029297,29542.671875,28889.796875,29379.453125,21758.458984,708096
2005-02-02,29183.589844,29836.466797,28563.357422,28726.576172,21274.935547,708403
2005-02-03,28400.138672,28857.152344,27812.548828,28073.699219,20791.416016,1142482
2005-02-04,28138.988281,30358.769531,28138.988281,30064.974609,22266.156250,1185828
2005-02-07,30162.906250,31893.029297,30162.906250,31729.810547,23499.134766,975988
2005-02-08,31729.810547,31729.810547,31729.810547,31729.810547,23499.134766,0
2005-02-09,31729.810547,31729.810547,31729.810547,31729.810547,23499.134766,0
2005-02-10,31729.810547,31729.810547,31729.810547,31729.810547,23499.134766,0
2005-02-11,31925.673828,33231.425781,31533.947266,32643.837891,24176.066406,919928
2005-02-14,32382.687500,32904.988281,32186.824219,32643.837891,24176.066406,863715
2005-02-15,32643.837891,32709.125000,31240.152344,31468.658203,23305.726563,855597
2005-02-16,31338.083984,32415.330078,31338.083984,32317.398438,23934.304688,844876
2005-02-17,32643.837891,34276.027344,32578.548828,33623.152344,24901.347656,1099288
2005-02-18,33623.152344,33623.152344,32970.277344,33296.714844,24659.585938,404517
2005-02-21,32774.414063,33231.425781,31501.302734,31990.960938,23692.542969,1532448
2005-02-22,31403.371094,32252.111328,30783.138672,30979.001953,22943.087891,1014127
2005-02-23,30032.330078,30228.193359,29150.947266,29640.603516,21951.865234,1565379
