Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,81074.734375,81074.734375,78968.898438,78968.898438,70183.000000,59947
2005-01-05,77652.750000,77652.750000,75546.914063,76336.601563,67843.554688,91156
2005-01-06,76336.601563,76863.062500,73967.539063,74230.765625,65972.007813,133115
2005-01-07,73704.304688,74230.765625,70545.554688,71861.703125,63866.519531,212855
2005-01-10,71598.468750,72388.156250,70282.320313,71335.242188,63398.636719,160430
2005-01-11,71072.007813,73441.078125,71072.007813,71335.242188,63398.636719,105611
2005-01-12,71335.242188,72388.156250,69229.406250,69755.859375,61994.972656,99266
2005-01-13,69229.406250,72914.617188,69229.406250,72914.617188,64802.304688,130950
2005-01-14,71335.242188,73704.304688,71335.242188,72388.156250,64334.402344,90187
2005-01-17,73441.078125,74757.226563,72388.156250,74493.992188,66205.953125,99114
2005-01-18,74493.992188,74757.226563,72651.390625,72914.617188,64802.304688,54458
2005-01-19,73704.304688,73704.304688,71861.703125,72124.929688,64100.468750,48170
2005-01-20,71072.007813,72651.390625,71072.007813,71072.007813,63164.687500,38027
2005-01-21,70282.320313,74493.992188,70282.320313,73704.304688,65504.128906,125517
2005-01-24,72914.617188,75020.453125,72388.156250,74757.226563,66439.898438,93302
2005-01-25,74757.226563,76336.601563,72651.390625,76073.375000,67609.617188,88781
2005-01-26,76599.835938,78179.210938,75283.687500,77389.523438,68779.335938,127816
2005-01-27,78179.210938,79758.585938,76073.375000,78968.898438,70183.000000,116457
2005-01-28,80021.820313,80021.820313,77389.523438,78968.898438,70183.000000,82646
2005-01-31,78968.898438,81074.734375,78442.437500,80285.046875,71352.710938,84355
2005-02-01,79758.585938,80021.820313,77915.984375,77915.984375,69247.218750,74972
2005-02-02,78968.898438,79232.132813,75810.140625,76336.601563,67843.554688,65076
2005-02-03,76863.062500,78179.210938,75810.140625,75810.140625,67375.664063,43631
2005-02-04,77915.984375,79495.359375,77915.984375,78968.898438,70183.000000,109144
2005-02-07,79758.585938,80811.507813,79495.359375,79758.585938,70884.820313,81620
2005-02-08,79758.585938,79758.585938,79758.585938,79758.585938,70884.820313,0
2005-02-09,79758.585938,79758.585938,79758.585938,79758.585938,70884.820313,0
2005-02-10,79758.585938,79758.585938,79758.585938,79758.585938,70884.820313,0
