Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,28350.000000,28400.000000,27500.000000,27600.000000,24157.162109,62000
2005-01-05,27450.000000,27600.000000,27300.000000,27400.000000,23982.109375,62900
2005-01-06,27450.000000,27500.000000,27100.000000,27200.000000,23807.052734,134100
2005-01-07,27400.000000,27600.000000,27050.000000,27550.000000,24113.400391,221900
2005-01-10,27550.000000,27700.000000,27500.000000,27650.000000,24200.921875,52700
2005-01-11,27500.000000,28150.000000,27500.000000,28150.000000,24638.556641,90700
2005-01-12,28150.000000,28150.000000,27900.000000,28150.000000,24638.556641,52800
2005-01-13,28050.000000,28300.000000,28000.000000,28200.000000,24682.316406,36300
2005-01-14,28100.000000,28400.000000,27900.000000,28300.000000,24769.837891,75800
2005-01-17,28750.000000,28750.000000,28000.000000,28400.000000,24857.367188,73600
2005-01-18,28700.000000,29500.000000,28400.000000,29250.000000,25601.343750,92700
2005-01-19,29150.000000,29400.000000,28900.000000,29350.000000,25688.867188,50600
2005-01-20,29350.000000,29350.000000,28600.000000,29000.000000,25382.525391,44100
2005-01-21,28700.000000,29550.000000,28700.000000,29300.000000,25645.101563,50900
2005-01-24,29500.000000,30200.000000,29450.000000,30000.000000,26257.779297,92500
2005-01-25,30000.000000,30950.000000,29700.000000,30900.000000,27045.519531,68600
2005-01-26,30700.000000,30900.000000,29900.000000,30500.000000,26695.416016,96800
2005-01-27,30200.000000,30800.000000,30200.000000,30800.000000,26957.988281,84600
2005-01-28,30800.000000,30900.000000,29950.000000,30000.000000,26257.779297,103900
2005-01-31,29900.000000,30350.000000,29400.000000,29800.000000,26082.732422,40700
2005-02-01,29800.000000,29950.000000,29050.000000,29800.000000,26082.732422,80900
2005-02-02,29650.000000,29800.000000,29200.000000,29500.000000,25820.156250,25400
2005-02-03,28300.000000,28700.000000,27500.000000,27850.000000,24375.974609,140200
2005-02-04,28000.000000,28300.000000,27950.000000,27950.000000,24463.501953,165000
