Date,Open,High,Low,Close,Adj Close,Volume
2006-06-29,38000.000000,40500.000000,37500.000000,39200.000000,36039.304688,1195650
2006-06-30,39600.000000,40950.000000,39000.000000,40900.000000,37602.234375,472510
2006-07-03,41300.000000,41700.000000,39900.000000,41400.000000,38061.925781,207420
2006-07-04,41550.000000,44300.000000,41550.000000,44000.000000,40452.289063,277000
2006-07-05,42700.000000,44000.000000,42700.000000,44000.000000,40452.289063,137000
2006-07-06,44000.000000,44800.000000,43650.000000,44400.000000,40820.039063,227000
2006-07-07,45050.000000,45900.000000,44400.000000,45800.000000,42107.156250,294000
2006-07-10,44600.000000,45850.000000,44600.000000,45750.000000,42061.183594,139000
2006-07-11,45350.000000,45700.000000,44800.000000,45500.000000,41831.339844,191000
2006-07-12,44800.000000,45100.000000,43250.000000,44500.000000,40911.976563,189000
2006-07-13,43800.000000,44400.000000,42150.000000,43000.000000,39532.917969,180000
2006-07-14,42700.000000,45850.000000,41650.000000,43050.000000,39578.882813,99000
2006-07-18,43000.000000,43000.000000,40500.000000,40500.000000,37234.484375,183000
2006-07-19,40150.000000,41000.000000,40150.000000,40500.000000,37234.484375,119000
2006-07-20,40750.000000,40900.000000,40000.000000,40800.000000,37510.296875,123000
2006-07-21,40200.000000,40700.000000,39350.000000,39400.000000,36223.183594,111830
2006-07-24,39400.000000,40050.000000,39400.000000,40050.000000,36820.777344,82970
2006-07-25,41450.000000,41450.000000,39800.000000,40000.000000,36774.800781,174590
2006-07-26,40000.000000,40300.000000,39500.000000,39500.000000,36315.125000,356000
2006-07-27,39950.000000,40300.000000,39800.000000,39950.000000,36728.835938,199000
2006-07-28,39950.000000,40000.000000,39450.000000,40000.000000,36774.800781,107430
2006-07-31,40050.000000,40250.000000,39800.000000,40100.000000,36866.746094,99310
2006-08-01,40100.000000,40100.000000,39800.000000,40100.000000,36866.746094,70770
2006-08-02,40200.000000,40300.000000,39900.000000,40200.000000,36958.687500,67820
2006-08-03,40800.000000,40800.000000,39500.000000,40450.000000,37188.523438,68030
2006-08-04,40450.000000,41100.000000,40350.000000,41100.000000,37786.109375,164470
2006-08-07,41000.000000,41200.000000,40700.000000,40950.000000,37648.207031,43430
2006-08-08,40550.000000,41500.000000,40550.000000,41500.000000,38153.863281,71830
2006-08-09,40500.000000,41850.000000,40500.000000,41850.000000,38475.632813,26510
2006-08-10,41550.000000,41900.000000,41250.000000,41900.000000,38521.617188,50330
2006-08-11,41900.000000,42000.000000,41200.000000,41850.000000,38475.632813,45440
2006-08-14,41900.000000,41900.000000,41400.000000,41800.000000,38429.675781,46090
2006-08-16,41800.000000,41850.000000,41550.000000,41550.000000,38199.832031,65850
2006-08-17,41100.000000,41550.000000,40500.000000,41450.000000,38107.898438,141300
2006-08-18,40900.000000,41500.000000,40550.000000,40550.000000,37280.464844,113150
2006-08-21,40500.000000,40650.000000,40100.000000,40400.000000,37142.550781,64000
2006-08-22,40400.000000,41500.000000,40150.000000,40900.000000,37602.234375,113000
2006-08-23,40700.000000,41800.000000,40550.000000,41450.000000,38107.898438,81120
2006-08-24,41150.000000,41500.000000,41000.000000,41200.000000,37878.042969,82220
2006-08-25,41500.000000,41550.000000,40750.000000,41550.000000,38199.832031,95510
2006-08-28,41450.000000,41600.000000,41000.000000,41600.000000,38245.796875,70440
2006-08-29,41500.000000,41550.000000,41150.000000,41400.000000,38061.925781,65690
2006-08-30,41050.000000,41700.000000,41050.000000,41650.000000,38291.773438,83800
2006-08-31,41650.000000,41800.000000,41100.000000,41800.000000,38429.675781,111370
2006-09-01,41500.000000,41600.000000,41250.000000,41350.000000,38015.949219,58230
2006-09-04,41600.000000,41600.000000,40800.000000,41100.000000,37786.109375,71690
2006-09-05,41100.000000,41350.000000,40550.000000,40900.000000,37602.234375,53010
2006-09-06,40650.000000,40700.000000,40400.000000,40500.000000,37234.484375,97570
2006-09-07,40200.000000,40400.000000,39900.000000,40150.000000,36912.714844,109900
2006-09-08,40000.000000,40300.000000,39950.000000,40250.000000,37004.644531,67480
2006-09-11,40200.000000,40200.000000,39800.000000,39800.000000,36590.933594,104530
2006-09-12,39550.000000,39600.000000,38750.000000,38950.000000,35809.472656,204040
2006-09-13,39750.000000,39850.000000,39000.000000,39800.000000,36590.933594,121040
2006-09-14,39750.000000,40100.000000,39500.000000,40000.000000,36774.800781,153680
2006-09-15,40050.000000,42100.000000,40050.000000,41500.000000,38153.863281,247760
2006-09-18,41500.000000,42100.000000,41400.000000,42000.000000,38613.542969,248350
2006-09-19,42100.000000,43350.000000,42100.000000,43300.000000,39808.722656,319070
2006-09-20,43400.000000,43400.000000,42450.000000,43000.000000,39532.917969,111220
2006-09-21,42750.000000,43150.000000,42600.000000,42900.000000,39440.980469,142430
2006-09-22,42900.000000,44350.000000,42900.000000,43750.000000,40222.449219,212890
2006-09-25,43450.000000,43700.000000,42600.000000,43000.000000,39532.917969,54150
2006-09-26,43200.000000,43550.000000,42900.000000,43150.000000,39670.820313,98480
2006-09-27,44400.000000,44400.000000,43150.000000,43800.000000,40268.410156,159630
2006-09-28,43800.000000,43800.000000,43100.000000,43300.000000,39808.722656,211970
2006-09-29,43350.000000,44750.000000,43100.000000,44000.000000,40452.289063,112290
2006-10-02,44000.000000,44950.000000,43800.000000,44950.000000,41325.695313,80910
2006-10-04,44750.000000,46000.000000,44000.000000,45550.000000,41877.304688,135510
2006-10-09,45350.000000,45700.000000,43350.000000,45550.000000,41877.304688,118470
2006-10-10,45000.000000,46000.000000,44700.000000,46000.000000,42291.023438,158080
2006-10-11,45900.000000,46000.000000,45400.000000,46000.000000,42291.023438,44860
2006-10-12,46000.000000,46450.000000,45750.000000,46400.000000,42658.769531,167770
2006-10-13,46450.000000,46600.000000,45800.000000,46600.000000,42842.648438,63680
2006-10-16,46550.000000,46650.000000,45700.000000,46650.000000,42888.613281,59220
2006-10-17,46750.000000,47150.000000,46050.000000,46650.000000,42888.613281,75250
2006-10-18,46300.000000,46650.000000,45900.000000,46650.000000,42888.613281,42130
2006-10-19,47000.000000,47800.000000,46350.000000,47000.000000,43210.394531,142480
2006-10-20,47450.000000,47450.000000,46600.000000,46900.000000,43118.460938,66520
2006-10-23,47000.000000,47000.000000,46450.000000,46800.000000,43026.519531,143590
2006-10-24,46700.000000,47750.000000,46700.000000,47750.000000,43899.925781,184870
2006-10-25,47300.000000,47700.000000,47200.000000,47350.000000,43532.175781,38430
2006-10-26,47350.000000,48300.000000,47350.000000,47900.000000,44037.835938,212200
2006-10-27,48000.000000,48350.000000,47400.000000,48100.000000,44221.703125,27870
2006-10-30,48100.000000,48300.000000,48000.000000,48100.000000,44221.703125,194490
2006-10-31,48350.000000,49600.000000,48000.000000,48800.000000,44865.261719,244350
2006-11-01,49500.000000,49800.000000,49350.000000,49550.000000,45554.789063,124110
2006-11-02,49500.000000,49800.000000,49350.000000,49550.000000,45554.789063,124110
2006-11-03,51000.000000,51000.000000,49700.000000,50500.000000,46428.195313,236200
2006-11-06,50900.000000,50900.000000,50300.000000,50500.000000,46428.195313,90270
2006-11-07,50500.000000,51800.000000,50500.000000,51500.000000,47347.558594,143100
2006-11-08,51800.000000,51800.000000,49700.000000,51000.000000,46887.878906,68600
2006-11-09,51000.000000,51700.000000,50800.000000,51500.000000,47347.558594,58950
2006-11-10,52300.000000,52300.000000,50200.000000,51500.000000,47347.558594,63440
2006-11-13,51200.000000,51200.000000,50500.000000,51200.000000,47071.746094,18940
2006-11-14,51000.000000,51400.000000,50600.000000,50900.000000,46795.937500,48880
2006-11-15,50500.000000,50900.000000,49900.000000,50900.000000,46795.937500,83120
2006-11-16,50500.000000,50700.000000,50100.000000,50600.000000,46520.125000,69040
2006-11-17,50800.000000,50800.000000,49500.000000,49900.000000,45876.574219,49820
2006-11-20,49900.000000,50000.000000,49650.000000,50000.000000,45968.519531,110000
2006-11-21,50700.000000,51100.000000,49750.000000,50800.000000,46704.000000,22660
2006-11-22,50800.000000,51100.000000,50400.000000,50400.000000,46336.257813,141380
2006-11-23,50000.000000,52300.000000,49100.000000,50500.000000,46428.195313,224380
2006-11-24,50500.000000,51700.000000,49750.000000,51700.000000,47531.437500,66310
2006-11-27,51300.000000,51800.000000,50500.000000,51700.000000,47531.437500,87450
2006-11-28,50800.000000,51400.000000,50400.000000,50800.000000,46704.000000,194300
2006-11-29,50400.000000,51100.000000,50400.000000,50400.000000,46336.257813,114850
2006-11-30,50500.000000,51500.000000,50000.000000,50500.000000,46428.195313,57240
2006-12-01,50300.000000,52000.000000,50300.000000,50500.000000,46428.195313,61800
2006-12-04,50900.000000,51900.000000,50900.000000,51500.000000,47347.558594,137530
2006-12-05,51900.000000,55100.000000,51500.000000,54000.000000,49645.980469,221070
2006-12-06,54100.000000,57000.000000,54000.000000,56900.000000,52312.160156,173780
2006-12-07,55000.000000,57000.000000,54100.000000,54700.000000,50289.546875,162290
2006-12-08,56700.000000,56700.000000,53300.000000,53800.000000,49462.117188,34810
2006-12-11,54200.000000,57000.000000,54100.000000,55500.000000,51025.042969,42000
2006-12-12,56500.000000,57000.000000,55300.000000,55300.000000,50841.171875,71130
2006-12-13,56700.000000,56700.000000,55200.000000,55900.000000,51392.792969,59720
2006-12-14,55200.000000,55900.000000,53900.000000,54700.000000,50289.546875,183830
2006-12-15,54500.000000,54900.000000,53500.000000,53700.000000,49370.175781,90340
2006-12-18,53100.000000,54200.000000,53100.000000,53700.000000,49370.175781,108870
2006-12-19,53500.000000,54400.000000,53300.000000,53700.000000,49370.175781,73470
2006-12-20,53700.000000,55300.000000,53500.000000,55300.000000,50841.171875,133160
2006-12-21,56400.000000,56400.000000,54500.000000,55700.000000,51208.914063,67390
2006-12-22,55300.000000,56500.000000,54600.000000,56500.000000,51944.414063,47640
2006-12-26,55400.000000,56600.000000,55400.000000,56300.000000,51760.546875,26790
2006-12-27,56900.000000,57000.000000,55900.000000,56300.000000,52177.597656,31630
2006-12-28,56300.000000,58000.000000,55500.000000,58000.000000,53753.109375,121100
2007-01-02,57400.000000,57500.000000,56100.000000,56300.000000,52177.597656,38010
2007-01-03,56500.000000,57000.000000,53800.000000,53800.000000,49860.648438,107990
2007-01-04,55400.000000,55400.000000,52400.000000,52500.000000,48655.835938,133580
2007-01-05,52700.000000,52700.000000,51300.000000,52500.000000,48655.835938,91820
2007-01-08,52700.000000,53800.000000,52500.000000,53400.000000,49489.929688,51280
2007-01-09,53500.000000,55200.000000,53000.000000,53400.000000,49489.929688,59780
2007-01-10,53300.000000,54000.000000,51600.000000,52900.000000,49026.546875,90080
2007-01-11,52900.000000,54400.000000,52900.000000,54400.000000,50416.718750,58100
2007-01-12,53600.000000,55200.000000,53600.000000,55000.000000,50972.769531,65740
2007-01-15,54100.000000,55200.000000,54100.000000,55200.000000,51158.136719,52630
2007-01-16,54800.000000,55200.000000,54500.000000,54800.000000,50787.425781,38570
2007-01-17,54300.000000,55500.000000,54300.000000,55500.000000,51436.175781,93150
2007-01-18,54500.000000,55500.000000,54500.000000,55500.000000,51436.175781,69840
2007-01-19,54500.000000,55100.000000,54500.000000,55000.000000,50972.769531,24220
2007-01-22,55000.000000,55400.000000,54700.000000,55000.000000,50972.769531,43080
2007-01-23,55300.000000,55600.000000,55000.000000,55400.000000,51343.492188,116120
2007-01-24,55700.000000,55900.000000,54800.000000,55900.000000,51806.875000,78530
2007-01-25,55900.000000,56200.000000,55400.000000,56200.000000,52084.902344,92000
2007-01-26,56200.000000,56300.000000,56100.000000,56200.000000,52084.902344,67280
2007-01-29,56200.000000,56200.000000,55100.000000,56000.000000,51899.558594,55040
2007-01-30,55200.000000,56000.000000,55100.000000,56000.000000,51899.558594,75410
2007-01-31,56100.000000,56200.000000,55400.000000,56200.000000,52084.902344,36260
2007-02-01,56200.000000,56500.000000,55000.000000,55500.000000,51436.175781,118660
2007-02-02,55200.000000,55600.000000,54300.000000,55200.000000,51158.136719,319710
2007-02-05,54800.000000,55700.000000,54800.000000,55200.000000,51158.136719,225520
2007-02-06,55200.000000,55500.000000,53200.000000,53700.000000,49767.964844,277720
2007-02-07,53100.000000,54800.000000,53100.000000,54300.000000,50324.039063,66600
2007-02-08,54300.000000,55000.000000,54300.000000,55000.000000,50972.769531,31720
2007-02-09,55400.000000,55900.000000,54900.000000,55800.000000,51714.199219,24170
2007-02-12,55900.000000,55900.000000,54600.000000,55800.000000,51714.199219,49250
2007-02-13,55500.000000,56000.000000,55400.000000,55600.000000,51528.839844,177000
2007-02-14,56500.000000,56900.000000,56200.000000,56600.000000,52455.628906,57400
2007-02-15,57100.000000,57700.000000,56300.000000,56300.000000,52177.597656,70180
2007-02-16,57700.000000,57700.000000,56500.000000,57600.000000,53382.406250,65080
2007-02-20,57000.000000,57800.000000,57000.000000,57800.000000,53567.753906,38480
2007-02-21,57300.000000,57500.000000,56800.000000,56900.000000,52733.656250,85860
2007-02-22,56400.000000,56900.000000,55100.000000,56900.000000,52733.656250,119060
2007-02-23,56300.000000,57200.000000,55000.000000,55100.000000,51065.457031,96030
2007-02-26,54800.000000,55700.000000,54800.000000,55400.000000,51343.492188,69060
2007-02-27,55100.000000,55600.000000,55000.000000,55400.000000,51343.492188,51580
2007-02-28,54000.000000,55400.000000,53900.000000,55400.000000,51343.492188,82970
2007-03-01,55400.000000,55400.000000,55400.000000,55400.000000,51343.492188,0
2007-03-05,54300.000000,54500.000000,53200.000000,53200.000000,49304.578125,93070
2007-03-06,53100.000000,53900.000000,52300.000000,53900.000000,49953.324219,201900
