Date,Open,High,Low,Close,Adj Close,Volume
2005-01-04,41450.000000,41650.000000,41000.000000,41450.000000,31520.388672,192500
2005-01-05,41200.000000,41500.000000,41150.000000,41450.000000,31520.388672,193600
2005-01-06,41650.000000,42800.000000,41250.000000,42200.000000,32090.720703,472700
2005-01-07,42200.000000,42600.000000,41550.000000,41550.000000,31596.423828,285200
2005-01-10,41600.000000,41600.000000,41100.000000,41200.000000,31330.275391,177400
2005-01-11,41200.000000,41500.000000,40600.000000,41200.000000,31330.275391,250400
2005-01-12,41300.000000,41300.000000,39900.000000,40200.000000,30569.833984,572600
2005-01-13,40200.000000,40400.000000,39250.000000,39500.000000,30037.519531,881800
2005-01-14,39500.000000,40000.000000,39450.000000,39700.000000,30189.615234,818000
2005-01-17,39850.000000,40600.000000,39750.000000,40200.000000,30569.833984,398900
2005-01-18,40100.000000,40700.000000,40100.000000,40400.000000,30721.923828,411000
2005-01-19,40700.000000,40750.000000,40050.000000,40500.000000,30797.962891,365000
2005-01-20,40100.000000,40100.000000,38900.000000,39200.000000,29809.380859,886100
2005-01-21,39150.000000,39200.000000,38200.000000,38600.000000,29353.123047,670000
2005-01-24,38450.000000,38900.000000,38400.000000,38800.000000,29505.210938,456400
2005-01-25,38600.000000,38900.000000,38450.000000,38500.000000,29277.082031,212000
2005-01-26,38500.000000,38900.000000,38450.000000,38700.000000,29429.166016,350700
2005-01-27,39050.000000,39450.000000,38550.000000,38600.000000,29353.123047,292800
2005-01-28,38500.000000,38500.000000,38100.000000,38150.000000,29010.923828,452500
2005-01-31,38000.000000,39000.000000,37850.000000,38750.000000,29467.189453,794700
2005-02-01,38550.000000,38600.000000,38200.000000,38450.000000,29239.054688,427300
2005-02-02,38500.000000,38850.000000,38450.000000,38850.000000,29543.230469,295400
2005-02-03,38700.000000,39500.000000,38650.000000,39500.000000,30037.519531,366600
2005-02-04,39450.000000,39700.000000,38250.000000,39500.000000,30037.519531,383300
2005-02-07,39800.000000,40150.000000,39150.000000,39800.000000,30265.658203,646600
2005-02-08,39800.000000,39800.000000,39800.000000,39800.000000,30265.658203,0
2005-02-09,39800.000000,39800.000000,39800.000000,39800.000000,30265.658203,0
2005-02-10,39800.000000,39800.000000,39800.000000,39800.000000,30265.658203,0
2005-02-11,39800.000000,40050.000000,39400.000000,39850.000000,30303.681641,303600
2005-02-14,39950.000000,40850.000000,39950.000000,40550.000000,30835.996094,647200
2005-02-15,41000.000000,41300.000000,40650.000000,40700.000000,30950.056641,592800
2005-02-16,41050.000000,42900.000000,40800.000000,41700.000000,31710.500000,910700
2005-02-17,42450.000000,43200.000000,42050.000000,42850.000000,32585.007813,1803300
2005-02-18,43500.000000,46800.000000,43350.000000,46000.000000,34980.402344,2063200
2005-02-21,47400.000000,47500.000000,46200.000000,46900.000000,35664.800781,938200
2005-02-22,47100.000000,47450.000000,46050.000000,46500.000000,35360.617188,549500
2005-02-23,45100.000000,46000.000000,43800.000000,45300.000000,34448.097656,536100
2005-02-24,45800.000000,46100.000000,44550.000000,45800.000000,34828.316406,431000
2005-02-25,46000.000000,46800.000000,45700.000000,46150.000000,35094.468750,293400
2005-02-28,46150.000000,47700.000000,46000.000000,47000.000000,35740.851563,372700
2005-03-01,47000.000000,47000.000000,47000.000000,47000.000000,35740.851563,0
2005-03-02,47800.000000,49100.000000,46750.000000,46900.000000,35664.800781,565500
2005-03-03,46700.000000,46900.000000,45450.000000,46300.000000,35208.542969,233700
2005-03-04,46500.000000,46850.000000,45700.000000,45800.000000,34828.316406,278300
2005-03-07,45900.000000,46900.000000,45300.000000,46900.000000,35664.800781,455900
2005-03-08,46900.000000,46900.000000,45500.000000,45600.000000,34676.230469,238300
2005-03-09,44700.000000,45600.000000,44250.000000,45600.000000,34676.230469,366600
2005-03-10,46000.000000,46000.000000,44850.000000,45400.000000,34524.140625,393200
2005-03-11,45100.000000,45800.000000,45100.000000,45550.000000,34638.203125,240800
2005-03-14,45000.000000,45000.000000,43500.000000,43950.000000,33421.500000,607900
2005-03-15,43950.000000,44000.000000,41900.000000,42400.000000,32242.810547,871400
2005-03-16,42400.000000,42950.000000,41500.000000,42500.000000,32318.855469,357700
2005-03-17,41600.000000,42000.000000,41000.000000,41550.000000,31596.423828,462100
2005-03-18,40600.000000,41600.000000,40600.000000,41300.000000,31406.318359,463600
2005-03-21,40900.000000,41300.000000,40450.000000,41000.000000,31178.191406,355200
2005-03-22,40800.000000,41600.000000,40500.000000,41350.000000,31444.349609,470800
2005-03-23,40800.000000,40900.000000,40100.000000,40200.000000,30569.833984,437000
2005-03-24,40200.000000,40850.000000,39900.000000,40550.000000,30835.996094,300500
2005-03-25,40500.000000,41300.000000,40500.000000,40550.000000,30835.996094,174800
